iter	Passed	Remaining
417	2916	11038
418	2922	11028
419	2928	11018
420	2936	11013
421	2942	11004
422	2949	10996
423	2956	10987
424	2962	10978
425	2969	10972
426	2975	10962
427	2983	10957
428	2989	10947
429	2995	10937
430	3000	10922
431	3007	10914
432	3013	10907
433	3020	10898
434	3026	10889
435	3033	10881
436	3039	10872
437	3046	10864
438	3052	10855
439	3059	10846
440	3066	10841
441	3073	10832
442	3080	10826
443	3086	10816
444	3092	10808
445	3100	10803
446	3106	10794
447	3113	10787
448	3120	10779
449	3127	10771
450	3133	10763
451	3140	10754
452	3147	10750
453	3153	10740
454	3160	10731
455	3166	10723
456	3173	10713
457	3180	10707
458	3186	10699
459	3194	10694
460	3200	10684
461	3206	10675
462	3213	10666
463	3219	10658
464	3226	10651
465	3232	10642
466	3239	10632
467	3246	10626
468	3252	10616
469	3259	10609
470	3265	10600
471	3271	10591
472	3278	10583
473	3284	10574
474	3291	10566
475	3298	10560
476	3304	10551
477	3312	10547
478	3319	10539
479	3326	10532
480	3332	10524
481	3339	10516
482	3343	10502
483	3349	10492
484	3356	10485
485	3364	10480
486	3371	10475
487	3379	10471
488	3387	10468
489	3395	10462
490	3402	10457
491	3410	10454
492	3417	10447
493	3425	10443
494	3432	10437
495	3440	10431
496	3446	10423
497	3453	10415
498	3459	10406
499	3465	10397
500	3472	10390
501	3479	10381
502	3485	10374
503	3492	10367
504	3499	10359
505	3506	10352
506	3512	10343
507	3521	10343
508	3528	10337
509	3536	10332
510	3543	10326
511	3549	10316
512	3556	10308
513	3562	10300
514	3570	10294
515	3576	10286
516	3583	10278
517	3589	10270
518	3596	10262
519	3603	10256
520	3609	10247
521	3617	10242
522	3625	10239
523	3632	10231
524	3639	10224
525	3645	10216
526	3652	10210
527	3659	10202
528	3666	10196
529	3672	10186
530	3679	10179
531	3687	10174
532	3693	10165
533	3701	10160
534	3707	10153
535	3715	10148
536	3723	10144
537	3730	10138
538	3738	10134
539	3746	10128
540	3753	10122
541	3760	10115
542	3767	10109
543	3774	10102
544	3782	10099
545	3789	10092
546	3797	10087
547	3805	10081
548	3813	10079
549	3820	10072
550	3828	10067
551	3836	10062
552	3843	10056
553	3851	10052
554	3859	10049
555	3866	10042
556	3873	10035
557	3881	10030
558	3888	10024
559	3896	10020
560	3903	10013
561	3911	10008
562	3918	10001
563	3926	9998
564	3935	9996
565	3943	9991
566	3950	9984
567	3957	9977
568	3965	9972
569	3972	9964
570	3979	9959
571	3987	9953
572	3996	9953
573	4003	9946
574	4011	9940
575	4017	9931
576	4024	9925
577	4031	9918
578	4037	9909
579	4044	9901
580	4050	9892
581	4057	9885
582	4064	9877
583	4070	9868
584	4077	9863
585	4084	9855
586	4092	9850
587	4097	9840
588	4106	9837
589	4113	9829
590	4120	9822
591	4126	9815
592	4133	9806
593	4140	9800
594	4147	9793
595	4153	9785
596	4160	9777
597	4166	9768
598	4174	9762
599	4180	9754
600	4187	9748
601	4194	9740
602	4200	9730
603	4207	9724
604	4213	9715
605	4221	9709
606	4227	9702
607	4235	9696
608	4242	9690
609	4249	9682
610	4256	9675
611	4262	9667
612	4270	9661
613	4276	9653
614	4282	9645
615	4289	9637
616	4296	9629
617	4303	9624
618	4310	9616
619	4317	9610
620	4324	9602
621	4330	9594
622	4339	9590
623	4345	9583
624	4353	9577
625	4359	9568
626	4366	9562
627	4372	9553
628	4379	9546
629	4386	9538
630	4392	9529
631	4398	9521
632	4405	9513
633	4411	9505
634	4418	9498
635	4425	9490
636	4432	9485
637	4439	9478
